NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
HALLMARK_ADIPOGENESIS	200	30		
HALLMARK_ALLOGRAFT_REJECTION	200	35		
HALLMARK_ANDROGEN_RESPONSE	101		Rejected!	
HALLMARK_ANGIOGENESIS	36		Rejected!	
HALLMARK_APICAL_JUNCTION	200	34		
HALLMARK_APICAL_SURFACE	44		Rejected!	
HALLMARK_APOPTOSIS	161	31		
HALLMARK_BILE_ACID_METABOLISM	112		Rejected!	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	74		Rejected!	
HALLMARK_COAGULATION	138	15		
HALLMARK_COMPLEMENT	200	30		
HALLMARK_DNA_REPAIR	150	28		
HALLMARK_E2F_TARGETS	200	31		
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	200	29		
HALLMARK_ESTROGEN_RESPONSE_EARLY	200	32		
HALLMARK_ESTROGEN_RESPONSE_LATE	200	31		
HALLMARK_FATTY_ACID_METABOLISM	158	23		
HALLMARK_G2M_CHECKPOINT	200	27		
HALLMARK_GLYCOLYSIS	200	29		
HALLMARK_HEDGEHOG_SIGNALING	36		Rejected!	
HALLMARK_HEME_METABOLISM	200	28		
HALLMARK_HYPOXIA	200	28		
HALLMARK_IL2_STAT5_SIGNALING	199	39		
HALLMARK_IL6_JAK_STAT3_SIGNALING	87	19		
HALLMARK_INFLAMMATORY_RESPONSE	200	22		
HALLMARK_INTERFERON_ALPHA_RESPONSE	97	15		
HALLMARK_INTERFERON_GAMMA_RESPONSE	200	25		
HALLMARK_KRAS_SIGNALING_DN	200	18		
HALLMARK_KRAS_SIGNALING_UP	200	33		
HALLMARK_MITOTIC_SPINDLE	199	38		
HALLMARK_MTORC1_SIGNALING	200	29		
HALLMARK_MYC_TARGETS_V1	200	24		
HALLMARK_MYC_TARGETS_V2	58		Rejected!	
HALLMARK_MYOGENESIS	200	29		
HALLMARK_NOTCH_SIGNALING	32		Rejected!	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	200	28		
HALLMARK_P53_PATHWAY	200	39		
HALLMARK_PANCREAS_BETA_CELLS	40		Rejected!	
HALLMARK_PEROXISOME	104		Rejected!	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	105	16		
HALLMARK_PROTEIN_SECRETION	96	17		
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	49		Rejected!	
HALLMARK_SPERMATOGENESIS	135	21		
HALLMARK_TGF_BETA_SIGNALING	54		Rejected!	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	200	40		
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	113		Rejected!	
HALLMARK_UV_RESPONSE_DN	144	18		
HALLMARK_UV_RESPONSE_UP	158	32		
HALLMARK_WNT_BETA_CATENIN_SIGNALING	42		Rejected!	
HALLMARK_XENOBIOTIC_METABOLISM	200	27		
